Country,1979-01-01 00:00:00,1980-01-01 00:00:00,1981-01-01 00:00:00,1982-01-01 00:00:00,1983-01-01 00:00:00,1984-01-01 00:00:00,1985-01-01 00:00:00,1986-01-01 00:00:00,1987-01-01 00:00:00,1988-01-01 00:00:00,1989-01-01 00:00:00,1990-01-01 00:00:00,1991-01-01 00:00:00,1992-01-01 00:00:00,1993-01-01 00:00:00,1994-01-01 00:00:00,1995-01-01 00:00:00,1996-01-01 00:00:00,1997-01-01 00:00:00,1998-01-01 00:00:00,1999-01-01 00:00:00,2000-01-01 00:00:00,2001-01-01 00:00:00,2002-01-01 00:00:00,2003-01-01 00:00:00,2004-01-01 00:00:00,2005-01-01 00:00:00,2006-01-01 00:00:00,2007-01-01 00:00:00,2008-01-01 00:00:00,2009-01-01 00:00:00,2010-01-01 00:00:00,2011-01-01 00:00:00,2012-01-01 00:00:00,2013-01-01 00:00:00,2014-01-01 00:00:00,2015-01-01 00:00:00,2016-01-01 00:00:00
Denmark,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Egypt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
England,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11245431543435479,0.10408534998698933,0.09416195856873823,0.19522776572668113,0.1875,0.1850328947368421,0.1755754974639095,0.16441359152356594,0.15728766165676336,0.14950166112956811,0.14124293785310735,0.1339684429889848,0.12728044123886295,0.12056262558606831,0.11559208836372976,0.11234552490325801,0.1088665779605661,0.10346016783538338,0.10121457489878542,0.0980178610324548,0.09610250934329952
Estonia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.031387319522912745,0.029770765108663295,0.0282845424975251,0.026791694574681845,0.025687130747495505,0.06241418050181001,0.0604814322003145,0.057477871019657435,0.05623031938821412,0.05445436724025267,0.05339028296849973
Ethiopia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
France,28.294573643410853,27.631578947368425,27.994955863808325,31.1340206185567,33.6832895888014,35.39622641509434,35.0346565847511,37.58741258741259,37.19723183391003,38.10264385692068,38.65231633130557,36.58104517271922,34.63312368972746,31.63538873994638,29.637603157517045,30.300032970656115,30.4047976011994,31.206072533033456,31.40775435857403,30.720338983050848,30.47722342733189,31.374999999999996,30.962171052631575,31.369488880218494,31.25685056631348,29.902132121635795,30.14950166112957,30.14752040175769,30.20244120273891,30.236175929854337,30.12726054922974,28.885178525558697,29.484458869055047,28.57142857142857,28.463041728934364,27.845254161043638,28.21825310389893,27.66684463427656
Georgia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025687130747495505,0.024965672200724,0.0241925728801258,0.022991148407862972,0.02249212775528565,0.02178174689610107,0.021356113187399894
Germany,30.620155038759687,29.887218045112785,30.26481715006305,24.742268041237114,28.171478565179353,24.30188679245283,20.28985507246377,18.764568764568764,18.569780853517877,16.69258683255573,15.067852129153017,14.260407440212578,13.501048218029348,15.511298353121408,14.531754574811625,13.353115727002967,14.722638680659669,13.803767219567051,12.77647671090294,13.606403013182675,14.446854663774403,15.729166666666666,15.522203947368421,14.728833398361296,15.436609426379247,16.35791681230339,15.548172757475085,16.148775894538606,15.317058648407263,15.881770612360347,15.043536503683857,15.643462625224764,15.20409437024092,14.733276883996613,15.116680078169905,14.788573999100315,15.388804182095402,15.088093966898025
Hungary,0.0,0.0,0.0,0.0,0.4374453193350831,0.37735849056603776,0.315059861373661,0.2913752913752914,0.28835063437139563,0.2592016588906169,0.2339728591483388,0.22143489813994688,0.20964360587002098,0.19149751053236308,0.1794043774668102,0.16485328058028356,0.14992503748125938,0.1405678942929435,0.13010668748373666,0.11770244821092278,0.10845986984815618,0.10416666666666667,0.10279605263157894,0.09754194303550526,0.09134088417975886,0.08738203425375743,0.08305647840531562,0.07846829880728186,0.07442691277165824,0.07071135624381275,0.06697923643670461,0.06421782686873877,0.06241418050181001,0.13305915084069192,0.12645131624324635,0.12370670265407108,0.11979960792855587,0.11745862253069943
India,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021356113187399894
Iran,0.0,0.0,0.0,0.2061855670103093,0.17497812773403326,0.1509433962264151,0.1260239445494644,0.11655011655011654,0.11534025374855825,0.10368066355624676,0.09358914365933552,0.08857395925597875,0.08385744234800838,0.07659900421294523,0.07176175098672408,0.06594131223211341,0.05997001499250374,0.1405678942929435,0.13010668748373666,0.11770244821092278,0.10845986984815618,0.10416666666666667,0.10279605263157894,0.09754194303550526,0.09134088417975886,0.08738203425375743,0.08305647840531562,0.07846829880728186,0.07442691277165824,0.07071135624381275,0.06697923643670461,0.06421782686873877,0.06241418050181001,0.0604814322003145,0.057477871019657435,0.05623031938821412,0.05445436724025267,0.05339028296849973
Ireland,0.0,0.0,0.5044136191677175,0.4123711340206186,0.3499562554680665,0.3018867924528302,0.2520478890989288,0.2331002331002331,0.2306805074971165,0.20736132711249353,0.18717828731867103,0.1771479185119575,0.16771488469601675,0.15319800842589046,0.14352350197344815,0.13188262446422683,0.11994002998500748,0.11245431543435479,0.10408534998698933,0.09416195856873823,0.08676789587852494,0.08333333333333334,0.08223684210526315,0.07803355442840422,0.16441359152356594,0.15728766165676336,0.14950166112956811,0.14124293785310735,0.1339684429889848,0.12728044123886295,0.12056262558606831,0.11559208836372976,0.11234552490325801,0.1088665779605661,0.10346016783538338,0.10121457489878542,0.0980178610324548,0.09610250934329952
Israel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Italy,6.5891472868217065,3.195488721804511,2.1437578814627996,1.7525773195876289,1.4873140857392826,1.2830188679245282,1.0712035286704475,0.9906759906759907,2.0184544405997693,1.8144116122343183,1.6378100140383716,1.550044286979628,1.4675052410901468,1.3404825737265416,1.9375672766415502,1.7804154302670623,1.6191904047976011,1.5181332583637897,1.9255789747593028,2.236346516007533,2.0607375271149677,1.9791666666666665,1.953125,2.282481467030823,2.1373766898063575,2.044739601537924,1.9435215946843856,1.8361581920903955,1.7415897588568028,1.6546457361052185,1.5673141326188884,1.502697148728487,1.4604918237423543,1.705576388048869,1.9082653178526268,1.8668466036887088,1.8078849923763887,1.772557394554191
Japan,0.0,0.0,0.0,0.0,0.0,0.0,1.1342155009451798,2.156177156177156,2.1337946943483272,1.9180922757905652,1.731399157697707,1.6386182462356065,2.3899371069182394,2.1830716200689393,2.798708288482239,2.571711177052423,2.3388305847076465,2.1928591509699187,2.029664324746292,1.8361581920903955,1.6919739696312366,1.625,1.6036184210526316,1.521654311353882,1.4249177932042383,1.363159734358616,1.2956810631229236,1.2241054613935969,1.1610598392378684,1.1030971574034791,1.3395847287340925,1.2843565373747752,1.5353888403445264,1.7781541066892466,1.9772387630762156,2.2267206477732793,2.1563929427140054,2.1142552055525896
Kazakhstan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kosovo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Latvia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lebanon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lithuania,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Macedonia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mexico,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Moldova,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Myanmar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Netherlands,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0899685110211426,0.08712698758440428,0.08542445274959957
Norway,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Palau,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Peru,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Poland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.70859167404783,0.670859538784067,0.6127920337035618,0.5740940078937926,0.5275304978569073,0.4797601199400299,0.44981726173741915,0.4163413999479573,0.7768361581920904,0.7158351409978307,0.6875,1.0485197368421053,0.9949278189621538,0.9316770186335404,1.223348479552604,1.1627906976744187,1.098556183301946,1.0419767788032153,0.9899589874133786,1.2190221031480242,1.1687644490110454,1.4105604793409063,1.3668803677271077,1.2989998850442581,1.2708052181736393,1.2306686996297103,1.2066203950880938
