Name;Link
Brain_Damage_(wrestler);https://en.wikipedia.org/wiki/Brain_Damage_(wrestler)
Frank_B._Brandegee;https://en.wikipedia.org/wiki/Frank_B._Brandegee
Charlie_Brandt;https://en.wikipedia.org/wiki/Charlie_Brandt
Fredric_Brandt;https://en.wikipedia.org/wiki/Fredric_Brandt
Mike_Brant;https://en.wikipedia.org/wiki/Mike_Brant
Richard_Brautigan;https://en.wikipedia.org/wiki/Richard_Brautigan
Frederick_Hazlitt_Brennan;https://en.wikipedia.org/wiki/Frederick_Hazlitt_Brennan
Charles_Joseph,_comte_Bresson;https://en.wikipedia.org/wiki/Charles_Joseph,_comte_Bresson
Fred_Bretonnel;https://en.wikipedia.org/wiki/Fred_Bretonnel
William_Brinkley;https://en.wikipedia.org/wiki/William_Brinkley
Ismaaiyl_Brinsley;https://en.wikipedia.org/wiki/Ismaaiyl_Brinsley
Simon_Brint;https://en.wikipedia.org/wiki/Simon_Brint
Suicide_of_Blake_Brockington;https://en.wikipedia.org/wiki/Suicide_of_Blake_Brockington
Erik_Brødreskift;https://en.wikipedia.org/wiki/Erik_Brødreskift
Vlastimil_Brodský;https://en.wikipedia.org/wiki/Vlastimil_Brodský
Joseph_Brooks_(songwriter);https://en.wikipedia.org/wiki/Joseph_Brooks_(songwriter)
John_Brown_(essayist);https://en.wikipedia.org/wiki/John_Brown_(essayist)
Bob_Brozman;https://en.wikipedia.org/wiki/Bob_Brozman
Nish_Bruce;https://en.wikipedia.org/wiki/Nish_Bruce
Clyde_Bruckman;https://en.wikipedia.org/wiki/Clyde_Bruckman
Jürgen_Brümmer;https://en.wikipedia.org/wiki/Jürgen_Brümmer
Edward_J._Brundage;https://en.wikipedia.org/wiki/Edward_J._Brundage
Marcus_Junius_Brutus;https://en.wikipedia.org/wiki/Marcus_Junius_Brutus
Roy_Buchanan;https://en.wikipedia.org/wiki/Roy_Buchanan
Eustace_Budgell;https://en.wikipedia.org/wiki/Eustace_Budgell
David_A._Burke;https://en.wikipedia.org/wiki/David_A._Burke
Jim_Burke_(cricketer);https://en.wikipedia.org/wiki/Jim_Burke_(cricketer)
Dan_Burros;https://en.wikipedia.org/wiki/Dan_Burros
François_Buzot;https://en.wikipedia.org/wiki/François_Buzot
Samuel_Byck;https://en.wikipedia.org/wiki/Samuel_Byck
David_Bystroň;https://en.wikipedia.org/wiki/David_Bystroň
Quintus_Caecilius_Metellus_Pius_Scipio_Nasica;https://en.wikipedia.org/wiki/Quintus_Caecilius_Metellus_Pius_Scipio_Nasica
Aulus_Caecina_Paetus;https://en.wikipedia.org/wiki/Aulus_Caecina_Paetus
Cai_Lun;https://en.wikipedia.org/wiki/Cai_Lun
Andrés_Caicedo;https://en.wikipedia.org/wiki/Andrés_Caicedo
Samuel_Calley;https://en.wikipedia.org/wiki/Samuel_Calley
Gaius_Calpurnius_Piso;https://en.wikipedia.org/wiki/Gaius_Calpurnius_Piso
Gnaeus_Calpurnius_Piso;https://en.wikipedia.org/wiki/Gnaeus_Calpurnius_Piso
José_Luis_Calva;https://en.wikipedia.org/wiki/José_Luis_Calva
Gaius_Calvisius_Sabinus_(consul_AD_26);https://en.wikipedia.org/wiki/Gaius_Calvisius_Sabinus_(consul_AD_26)
Suicide_of_Antonio_Calvo;https://en.wikipedia.org/wiki/Suicide_of_Antonio_Calvo
Ray_Cameron_(comedian);https://en.wikipedia.org/wiki/Ray_Cameron_(comedian)
Donald_Cammell;https://en.wikipedia.org/wiki/Donald_Cammell
Mario_Alberto_Sulú_Canché;https://en.wikipedia.org/wiki/Mario_Alberto_Sulú_Canché
Canserbero;https://en.wikipedia.org/wiki/Canserbero
Homaro_Cantu;https://en.wikipedia.org/wiki/Homaro_Cantu
Albert_Caraco;https://en.wikipedia.org/wiki/Albert_Caraco
Richard_Cardinal;https://en.wikipedia.org/wiki/Richard_Cardinal
Wallace_Carothers;https://en.wikipedia.org/wiki/Wallace_Carothers
Charles_C._Carpenter_(admiral);https://en.wikipedia.org/wiki/Charles_C._Carpenter_(admiral)
Don_Carpenter;https://en.wikipedia.org/wiki/Don_Carpenter
Hank_Earl_Carr;https://en.wikipedia.org/wiki/Hank_Earl_Carr
Andrew_Carroll_(ice_hockey);https://en.wikipedia.org/wiki/Andrew_Carroll_(ice_hockey)
Kevin_Carter;https://en.wikipedia.org/wiki/Kevin_Carter
Rick_E._Carter;https://en.wikipedia.org/wiki/Rick_E._Carter
Danny_Casolaro;https://en.wikipedia.org/wiki/Danny_Casolaro
Gaius_Cassius_Longinus;https://en.wikipedia.org/wiki/Gaius_Cassius_Longinus
Camilo_Castelo_Branco;https://en.wikipedia.org/wiki/Camilo_Castelo_Branco
Paul_Castle;https://en.wikipedia.org/wiki/Paul_Castle
Robert_Stewart,_Viscount_Castlereagh;https://en.wikipedia.org/wiki/Robert_Stewart,_Viscount_Castlereagh
Fidel_Castro_Díaz-Balart;https://en.wikipedia.org/wiki/Fidel_Castro_Díaz-Balart
Ariel_Castro;https://en.wikipedia.org/wiki/Ariel_Castro
Cato_the_Younger;https://en.wikipedia.org/wiki/Cato_the_Younger
Harry_M._Caudill;https://en.wikipedia.org/wiki/Harry_M._Caudill
Marin_Ceaușescu;https://en.wikipedia.org/wiki/Marin_Ceaușescu
Censorinus_(died_53_BC);https://en.wikipedia.org/wiki/Censorinus_(died_53_BC)
Ricardo_Cerna;https://en.wikipedia.org/wiki/Ricardo_Cerna
Arcan_Cetin;https://en.wikipedia.org/wiki/Arcan_Cetin
Yavuz_Çetin;https://en.wikipedia.org/wiki/Yavuz_Çetin
Nicolas_Chamfort;https://en.wikipedia.org/wiki/Nicolas_Chamfort
Champignon_(musician);https://en.wikipedia.org/wiki/Champignon_(musician)
Pierre_Chanal;https://en.wikipedia.org/wiki/Pierre_Chanal
Henry_William_Chandler;https://en.wikipedia.org/wiki/Henry_William_Chandler
Joseph_Newton_Chandler_III;https://en.wikipedia.org/wiki/Joseph_Newton_Chandler_III
Claude_Chappe;https://en.wikipedia.org/wiki/Claude_Chappe
Richard_Chase;https://en.wikipedia.org/wiki/Richard_Chase
Gilles_Châtelet;https://en.wikipedia.org/wiki/Gilles_Châtelet
