country,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Barbados,0.0021554046772281495,0.00203095170396848,0.0028308897250498353,0.002308973661207593,0.0031571896070808902,0.0032834560720484073,0.003333730205976902,0.0034717764757270344,0.0034402478101769555,0.0038005236000054825,0.004300719728239196,0.0046629606992636035,0.005003008627460968,0.0051300657848193905,0.005290857322962245,0.005336210729040732,0.005461259232242764,0.005058278168027718,0.00471872533707152,0.004411555282205385,0.004135256251673146,0.004119271339589316,0.003937162880428363,0.0037290675517530386,0.003541892752648726,0.0034374898931328747,0.00331062457322597,0.003330568621523528,0.003202059773960719,0.003097825719470023,0.003058001199584233,0.0029939485727262967,0.0028929497122079516,0.0028009187560040427,0.0027161790330323143,0.002636790925117453,0.002568204946262504,0.002562991133175895
Belarus,0.0,0.0,0.5633470552849172,0.8252931571916283,0.6868946432101205,0.5868005065903654,0.6958923681390642,0.7333522262564803,0.7725813653711676,0.8020350869323046,0.842382531705241,0.8607424335941751,0.8794379529144117,0.9002438022392737,0.9313798480314609,0.963220687310872,0.9900847804605727,1.024316119312654,1.0528552427522035,1.0760583088934892,1.090812887393103,1.1058309082356068,1.1164546084921807,1.1245074523275393,1.1349540492640509,1.0837333727597407,1.0381552137645502,0.9964517549292842,1.001444194306215,1.0057240585794125,1.0097459406547937,1.0100414114203804,1.0066194923000262,0.974596759924509,0.9703118981758805,0.9643451844866143,0.9392614519077315,0.9373546205791684
Belgium,2.278262743830154,1.743368942686543,1.521367319737199,1.4186993881219796,1.4890953416353694,1.5463905436465124,1.4733182521728778,1.4266579145603884,1.3977235388776088,1.3646994907298375,1.3306538546178,1.289534260476996,1.251843722383961,1.216404791977901,1.192105738539436,1.1668629629899134,1.1443094636915685,1.1194176649863914,1.103491856749433,1.0837462824262214,1.0607778683020033,1.0470687060321835,1.0364204778080632,1.0239448929401007,1.0130200364679471,1.0040242657216651,0.9977195638969132,0.9905213036593262,0.9826402616540272,0.9772618019690535,0.971293846362992,0.9664319946488645,0.9632958063659852,0.9603325687963715,0.9563865120114075,0.9528590659689075,0.95146355735973,0.9495319540606969
Belize,0.0,0.0008123806815873918,0.0004718149541749726,0.0003298533801725133,0.0002745382267026861,0.00046906515314977255,0.00038099773782593164,0.0005651729146532382,0.0007723005288152347,0.000685340321312464,0.0006702420355697449,0.0007520904353650973,0.0007731922424257861,0.0007033154704994326,0.0006802530843808602,0.0009009186945133704,0.0012774875397059096,0.001419867555937605,0.0013521493655935936,0.0015737127030089387,0.0019104400227027986,0.0022075653035368158,0.0024956879460638804,0.002649064381026749,0.0027483539392137656,0.0029939428101479876,0.003080474201825234,0.0031436489539890438,0.0031530486549715244,0.0032079007450349483,0.003315357736182906,0.0034174827610631876,0.003767890600778161,0.0038939602217617176,0.004001395453540288,0.004193140690674583,0.0044097958101678115,0.004400843311599585
Bermuda,0.0,0.0012185710223810878,0.0007077224312624588,0.0004947800702587699,0.0008236146801080583,0.0007035977297246588,0.0005714966067388975,0.00048443392684563273,0.00042125483389921897,0.00037382199344316224,0.00033512101778487244,0.0003008361741460389,0.0002728913796796892,0.000248228989588035,0.00022675102812695337,0.0002079043141184701,0.0001916231309558864,0.00017748344449220062,0.0001655693100726849,0.0001547914134107153,0.00014509671058502268,0.00013655043114660714,0.0001290873075550283,0.00012226450989354226,0.00011612763123438446,0.00011088677074622175,0.00010622324833880117,0.00010195618229153656,9.802223797838936e-05,9.435002191279259e-05,9.083171879953167e-05,8.76277631041843e-05,8.467169889389126e-05,8.197810993182564e-05,7.949792291801896e-05,7.7174368540023e-05,7.516697403695133e-05,7.50143746295384e-05
Bosnia and Herzegovina,0.0,0.0,0.0,0.0,0.0,0.0,0.0412430051196571,0.07532947562449588,0.09913530424428287,0.11463874465590308,0.1273459867582515,0.13748213158473976,0.14886224761527045,0.13540891382027312,0.12369268584325305,0.11341180335162544,0.10453041793643605,0.09681721897049544,0.09031805864464962,0.08443871601554519,0.07915025562412988,0.07448826019047419,0.07041712627126794,0.0666952901469273,0.06334762283835672,0.06048873344206397,0.05794478196881604,0.055617097440033195,0.0534711308172114,0.051467936953428356,0.049548702605144525,0.047800944773332535,0.046258971495695925,0.04478737405942074,0.04343236522087769,0.04618885957120377,0.044987433961115375,0.04489610321577872
Brazil,3.7277723892660846,2.9745318656322355,2.6780216798971446,2.5149670971253277,2.719438404603457,2.839134105727285,2.7087986665079176,2.6409722911867743,2.624558033470101,2.607283796934909,2.5866315757725378,2.5628233675501053,2.559266322429352,2.5433955988172716,2.5314862698473286,2.5253790528780367,2.5363556985206053,2.54733113707431,2.566489875436689,2.5779993932176595,2.573894731852815,2.5762059508222723,2.601281363643894,2.6206378824765,2.6408197526907253,2.6693957133022543,2.70812630864829,2.745781945293371,2.7845013772124436,2.824603781014228,2.86076012221105,2.897558033311694,2.938418414513971,2.9856017746621237,3.03456821431898,3.0826143897784095,3.1422801826407136,3.1359009170132226
Brunei Darussalam,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00035496688898440125,0.0006346823552786255,0.0007997556359553623,0.0007980319082176247,0.0008648193972618452,0.0009036111528851981,0.0008762289875703861,0.0009290210498750757,0.000942537551342885,0.0010268247339417446,0.0011555033993040811,0.0012742890937190619,0.0013680753177354925,0.0013473371621930531,0.0013728349552988874,0.0013970830317492058,0.0014619429604508906,0.0014707115739833506,0.0014920377917737784,0.001540922967757502,0.0015377946799055367
Bulgaria,0.0,0.48986555099719725,0.5697165571662794,0.6225982550756188,0.6820902242428236,0.7598855481026315,0.7558995118466484,0.7544251020742654,0.7607862300219895,0.7655874425715963,0.767873958751071,0.755650330092492,0.7484046087715476,0.7436113098092236,0.7348244984834136,0.7244772332648288,0.7135087281142432,0.7059995616158921,0.6990336271268758,0.6923045964794241,0.6805519382139514,0.6719419132672626,0.6634872462815863,0.6552562633561241,0.6435019138801358,0.6331819420893839,0.623937656867395,0.6154754870999091,0.6064635863722949,0.5985093640037997,0.5893313301911615,0.5810889063982141,0.572253676974364,0.5659632079510022,0.5583934105761652,0.5513851384289511,0.537042973836005,0.5359527019365086
Cabo Verde,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005927018922572389,0.0005738467695227795,0.0005564854604261328,0.0005402205797801611,0.0005261688182586593,0.0005251006224067687
